,Unnamed: 0,name,country,city,town,address,total space (sqft),colocation space (sqft),total power (MW),latitude,longitude
2871,2980,Expedient,usa, OH, Cleveland,15166 Neo Parkway,42000,24000,2.7,40.2253569,-82.6881395
2872,2981,Flexential,usa, NV 89081, North Las Vegas,3330 E Lone Mountain Rd,111240,8400,9,46.405094,-87.396662
2873,2982,Rackspace,usa, MO, Kansas City,10828 North Airworld Drive,77550,15256,2.5,33.512691,131.304743
2874,2983,Flexential,usa,UT, Salt Lake City,572 Delong St suite 100,44550,33386,2.65,39.4225192,-111.714358
2875,2984,Lumen,usa, MO, Kansas City,1100 Walnut Street,21920,2363,,33.512691,131.304743
2876,2985,DataBank,usa, CA, Irvine,17222 Von Karman Avenue,52800,36720,2.64,36.7014631,-118.755997
2877,2986,Hut 8,canada, ON,Toronto,,15340,7500,1,50.000678,-86.000977
2878,2987,Flexential,usa,TX, Richardson,3010 Waterview Pkwy,100807,50851,3.75,31.2638905,-98.5456116
2879,2988,Rackspace,germany, 60388 Frankfurt am Main,Kruppstraße 121-127,,,,1.25,50.15053802,8.753674225
2880,2989,Equinix,usa,VA, Ashburn,44780 Performance Circle,57772,,,37.1232245,-78.4927721
2881,2990,DataBank,usa, CA, Los Angeles,624 South Grand Avenue,662000,18480,2,36.7014631,-118.755997
2882,2991,China Telecom,singapore, Singapore 627753,15 Pioneer Walk,,,,,1.33041305,104.4061136
2883,2992,Equinix,ireland, Dublin, Citywest Business Campus,Kingswood Road,11136,11136,,53.3493795,-6.2605593
2884,2993,Digital Realty,nigeria, Lagos, Victoria Island,8a Saka Tinubu Street,3412,,2,6.4550575,3.3941795
2885,2994,CyrusOne,germany, Frankfurt,Leonhard-Heißwolf-Straße,,53410,,9.1,50.1106444,8.6820917
2886,2995,Equinix,usa, GA, Atlanta,56 Marietta Street NorthWest,12967,9390,1,32.3293809,-83.1137366
2887,2996,Tonaquint Datacenters,usa, UT, St. George,1108 West 1600 South,28000,17200,4,39.4225192,-111.714358
2888,2997,Digital Realty,france, La Courneuve,1-3 Rue Rateau,,99000,,32,48.9267236,2.3896123
2889,2998,MOD Mission Critical,usa, VA, Ashburn,21711 Filigree Court,43356,19935,,37.1232245,-78.4927721
2890,2999,PhoenixNAP,serbia, Belgrade, Novi Beograd,Omladinskih brigada 92,,,,44.8178131,20.4568974
2891,3000,China Telecom,china, Beijing, Tongzhou,Xizhou Rd,,,,39.9057136,116.3912972
2892,3001,China Telecom,south korea, Gyeonggi-do, Anyang, Dongan-gu,,,,37.2884675,127.0535231
2893,3002,China Telecom,china, Shanghai Shi, Baoshan Qu,Volvo Cars China Training Center,,,,31.2323437,121.4691024
2894,3003,CoreSite,usa, NY, New York, 6th Avenue,48000,,,43.1561681,-75.8449946
2895,3004,DC2Scale,france,38000 Grenoble,,,3767,3000,0.63,45.18813788,5.720271828
2896,3005,Lumen,usa, MN, Minneapolis,715 N 2nd St,14200,4686,,45.9896587,-94.6113288
2897,3006,MOD Mission Critical,spain, Madrid, 28037 Madrid,71,118403,,3.6,40.4167047,-3.7035825
2898,3007,CyrusOne,usa, TX, Allen,2300 Chelsea Boulevard,976000,580000,50,31.2638905,-98.5456116
2899,3008,Netshop ISP,netherlands,2031 BE Haarlem,,,,,,52.39111933,4.6645012
2900,3009,China Telecom,france, 92110 Clichy,9 Rue Petit,,,,,48.90278221,2.309654692
2901,3010,MOD Mission Critical,usa, FL, Miami,50 NE 9th St,658528,255512,,27.7567667,-81.4639835
2902,3011,China Telecom,china, Shanghai,Putuo,,,,,31.2323437,121.4691024
2903,3012,HostDime,usa,FL, Orlando,440 W Kennedy Blvd,25000,,,27.7567667,-81.4639835
2904,3013,China Telecom,china, Shanghai, Hongkou Qu, Ouyang Road,,,,31.2323437,121.4691024
2905,3014,NorthC,switzerland, Canton of Zurich, Winterthur,Theaterstrasse 15B,,11840,2,47.4036425,8.5465866
2906,3015,Digital Realty,chile, Quilicura, Santiago,Calle Guacolda 2100,65000,,11,-33.3600426,-70.7118564
2907,3016,antage Data Centers,switzerland, Winterthur,Fabrikstrasse 12,,366000,,40,47.4991723,8.7291498
2908,3017,Digital Realty,brazil, 13185-252, Hortolândia - SP, 4 - Jardim Santa Izabel,43000,,7,-30.55010885,-52.51652319
2909,3018,Lumen,usa, CA, San Francisco,200 Paul Avenue,11000,,,36.7014631,-118.755997
